latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source,product,acq_datetime
55.1577,61.0584,319.1,1.4,1.2,2001-04-21,07:48,Terra,MODIS,79,6.03,290.3,22.7,D,0,M-C61,archive,2001-04-21 07:48:00
55.1478,61.0523,309.1,1.4,1.2,2001-04-21,07:48,Terra,MODIS,58,6.03,288.8,9.4,D,0,M-C61,archive,2001-04-21 07:48:00
55.0079,61.6408,309.8,1.4,1.2,2001-04-21,07:48,Terra,MODIS,69,6.03,288.9,14.1,D,0,M-C61,archive,2001-04-21 07:48:00
55.2037,60.6305,305.0,1.3,1.1,2001-04-21,07:48,Terra,MODIS,60,6.03,284.6,7.1,D,0,M-C61,archive,2001-04-21 07:48:00
55.1281,60.8964,309.5,1.4,1.2,2001-04-21,07:48,Terra,MODIS,68,6.03,293.7,11.0,D,0,M-C61,archive,2001-04-21 07:48:00
55.1239,60.9166,304.8,1.4,1.2,2001-04-21,07:48,Terra,MODIS,53,6.03,292.0,6.0,D,0,M-C61,archive,2001-04-21 07:48:00
54.9407,61.5255,302.0,1.4,1.2,2001-04-21,07:48,Terra,MODIS,41,6.03,289.0,5.5,D,0,M-C61,archive,2001-04-21 07:48:00
54.9867,61.0078,311.8,1.4,1.2,2001-04-21,07:48,Terra,MODIS,72,6.03,293.1,12.8,D,0,M-C61,archive,2001-04-21 07:48:00
54.9863,60.8478,322.2,1.4,1.2,2001-04-21,07:48,Terra,MODIS,55,6.03,293.0,23.8,D,0,M-C61,archive,2001-04-21 07:48:00
54.9334,60.8538,306.4,1.4,1.2,2001-04-21,07:48,Terra,MODIS,62,6.03,291.1,6.0,D,0,M-C61,archive,2001-04-21 07:48:00
54.9292,60.874,310.2,1.4,1.2,2001-04-21,07:48,Terra,MODIS,70,6.03,290.7,9.9,D,0,M-C61,archive,2001-04-21 07:48:00
54.9167,60.9349,306.3,1.4,1.2,2001-04-21,07:48,Terra,MODIS,63,6.03,290.6,6.4,D,0,M-C61,archive,2001-04-21 07:48:00
54.9543,60.438,323.8,1.3,1.1,2001-04-21,07:48,Terra,MODIS,83,6.03,294.3,28.2,D,0,M-C61,archive,2001-04-21 07:48:00
54.9504,60.4575,308.4,1.3,1.1,2001-04-21,07:48,Terra,MODIS,67,6.03,292.4,8.4,D,0,M-C61,archive,2001-04-21 07:48:00
56.5887,60.8837,307.2,1.6,1.2,2001-04-22,06:53,Terra,MODIS,65,6.03,279.5,20.1,D,0,M-C61,archive,2001-04-22 06:53:00
55.7607,61.6268,330.3,1.1,1.1,2001-04-23,07:36,Terra,MODIS,87,6.03,295.6,29.5,D,0,M-C61,archive,2001-04-23 07:36:00
55.7517,61.6217,323.4,1.1,1.1,2001-04-23,07:36,Terra,MODIS,82,6.03,294.6,21.1,D,0,M-C61,archive,2001-04-23 07:36:00
55.7304,61.6285,336.3,1.1,1.1,2001-04-23,07:36,Terra,MODIS,90,6.03,295.1,39.8,D,0,M-C61,archive,2001-04-23 07:36:00
55.7274,61.6455,343.7,1.1,1.1,2001-04-23,07:36,Terra,MODIS,93,6.03,295.4,54.3,D,0,M-C61,archive,2001-04-23 07:36:00
55.7457,61.4319,316.0,1.1,1.0,2001-04-23,07:36,Terra,MODIS,65,6.03,293.6,11.3,D,0,M-C61,archive,2001-04-23 07:36:00
55.7427,61.4488,339.7,1.1,1.0,2001-04-23,07:36,Terra,MODIS,92,6.03,295.9,45.0,D,0,M-C61,archive,2001-04-23 07:36:00
55.7246,61.4945,308.8,1.1,1.0,2001-04-23,07:36,Terra,MODIS,66,6.03,294.2,6.5,D,0,M-C61,archive,2001-04-23 07:36:00
55.5937,61.5828,313.5,1.1,1.1,2001-04-23,07:36,Terra,MODIS,49,6.03,294.3,8.6,D,0,M-C61,archive,2001-04-23 07:36:00
55.5877,61.5608,313.8,1.1,1.1,2001-04-23,07:36,Terra,MODIS,57,6.03,292.2,10.0,D,0,M-C61,archive,2001-04-23 07:36:00
55.584,61.5529,304.3,1.1,1.1,2001-04-23,07:36,Terra,MODIS,45,6.03,292.2,3.6,D,0,M-C61,archive,2001-04-23 07:36:00
